NAME,REGION,YEAR,SE.SEC.TCHR.FE.ZS,GB.XPD.RSDV.GD.ZS,SP.POP.SCIE.RD.P6,RATIO
Albania,Europe & Central Asia,2000,53.94607162,\N,\N,\N
Albania,Europe & Central Asia,2001,54.10681915,\N,\N,\N
Albania,Europe & Central Asia,2002,\N,\N,\N,\N
Albania,Europe & Central Asia,2003,56.10060883,\N,\N,\N
Albania,Europe & Central Asia,2004,\N,\N,\N,\N
Albania,Europe & Central Asia,2005,\N,\N,\N,\N
Albania,Europe & Central Asia,2006,\N,\N,\N,\N
Albania,Europe & Central Asia,2007,\N,0.08735,\N,\N
Albania,Europe & Central Asia,2008,61.21942902,0.15308,147.94362,966.4464332375229
Albania,Europe & Central Asia,2009,61.44002914,\N,\N,\N
Albania,Europe & Central Asia,2010,62.08370972,\N,\N,\N
Albania,Europe & Central Asia,2011,63.21572876,\N,\N,\N
Albania,Europe & Central Asia,2012,63.55535126,\N,\N,\N
Albania,Europe & Central Asia,2013,\N,\N,\N,\N
Andorra,Europe & Central Asia,2000,\N,\N,\N,\N
Andorra,Europe & Central Asia,2001,\N,\N,\N,\N
Andorra,Europe & Central Asia,2002,54.27872849,\N,\N,\N
Andorra,Europe & Central Asia,2003,56.36363983,\N,\N,\N
Andorra,Europe & Central Asia,2004,58.04347992,\N,\N,\N
Andorra,Europe & Central Asia,2005,59.33610153,\N,\N,\N
Andorra,Europe & Central Asia,2006,\N,\N,\N,\N
Andorra,Europe & Central Asia,2007,\N,\N,\N,\N
Andorra,Europe & Central Asia,2008,\N,\N,\N,\N
Andorra,Europe & Central Asia,2009,\N,\N,\N,\N
Andorra,Europe & Central Asia,2010,\N,\N,\N,\N
Andorra,Europe & Central Asia,2011,\N,\N,\N,\N
Andorra,Europe & Central Asia,2012,\N,\N,\N,\N
Andorra,Europe & Central Asia,2013,\N,\N,\N,\N
Armenia,Europe & Central Asia,2000,\N,0.18463,\N,\N
Armenia,Europe & Central Asia,2001,\N,0.27987,\N,\N
Armenia,Europe & Central Asia,2002,\N,0.25255,\N,\N
Armenia,Europe & Central Asia,2003,\N,0.23971,\N,\N
Armenia,Europe & Central Asia,2004,\N,0.21201,\N,\N
Armenia,Europe & Central Asia,2005,\N,0.25761,\N,\N
Armenia,Europe & Central Asia,2006,\N,0.24057,\N,\N
Armenia,Europe & Central Asia,2007,\N,0.21107,\N,\N
Armenia,Europe & Central Asia,2008,\N,0.22438,\N,\N
Armenia,Europe & Central Asia,2009,\N,0.29093,\N,\N
Armenia,Europe & Central Asia,2010,\N,0.24139,\N,\N
Armenia,Europe & Central Asia,2011,\N,0.27014,\N,\N
Armenia,Europe & Central Asia,2012,\N,\N,\N,\N
Armenia,Europe & Central Asia,2013,\N,\N,\N,\N
Austria,Europe & Central Asia,2000,\N,1.93246,\N,\N
Austria,Europe & Central Asia,2001,\N,2.05092,\N,\N
